Date and Time,"Hydro-only, MtCO2e","Estimated, MtCO2e","Coal-only, MtCO2e"
2010-07-18T00:00:00,4E-06,0.000119,0.000214
2010-07-19T00:00:00,5E-06,0.000119,0.000216
2010-07-20T00:00:00,5E-06,0.000121,0.000219
2010-07-21T00:00:00,5E-06,0.000127,0.000229
2010-07-22T00:00:00,5E-06,0.000126,0.000227
2010-07-23T00:00:00,5E-06,0.000127,0.000229
2010-07-24T00:00:00,5E-06,0.000127,0.00023
2010-07-25T00:00:00,5E-06,0.000133,0.000241
2010-07-26T00:00:00,5E-06,0.00014,0.000253
2010-07-27T00:00:00,5E-06,0.000144,0.00026
2010-07-28T00:00:00,5E-06,0.000145,0.000261
2010-07-29T00:00:00,6E-06,0.000151,0.000273
2010-07-30T00:00:00,6E-06,0.000156,0.000282
2010-07-31T00:00:00,6E-06,0.000165,0.000297
2010-08-01T00:00:00,7E-06,0.000173,0.000313
2010-08-02T00:00:00,7E-06,0.000182,0.000328
2010-08-03T00:00:00,7E-06,0.00019,0.000343
2010-08-04T00:00:00,8E-06,0.000201,0.000363
2010-08-05T00:00:00,8E-06,0.000208,0.000376
2010-08-06T00:00:00,8E-06,0.000212,0.000383
2010-08-07T00:00:00,8E-06,0.000215,0.000388
2010-08-08T00:00:00,8E-06,0.000221,0.0004
2010-08-09T00:00:00,9E-06,0.000225,0.000407
2010-08-10T00:00:00,9E-06,0.000232,0.000419
2010-08-11T00:00:00,9E-06,0.000244,0.000441
2010-08-12T00:00:00,1E-05,0.000255,0.00046
2010-08-13T00:00:00,1E-05,0.000268,0.000484
2010-08-14T00:00:00,1.1E-05,0.000292,0.000527
2010-08-15T00:00:00,1.1E-05,0.000298,0.000538
2010-08-16T00:00:00,1.1E-05,0.000303,0.000547
2010-08-17T00:00:00,1.1E-05,0.000302,0.000545
2010-08-18T00:00:00,1.1E-05,0.000294,0.000532
2010-08-19T00:00:00,1.1E-05,0.00029,0.000525
2010-08-20T00:00:00,1.1E-05,0.000303,0.000547
2010-08-21T00:00:00,1.1E-05,0.000297,0.000537
2010-08-22T00:00:00,1.2E-05,0.000312,0.000563
2010-08-23T00:00:00,1.3E-05,0.00033,0.000597
2010-08-24T00:00:00,1.3E-05,0.000354,0.00064
2010-08-25T00:00:00,1.4E-05,0.000377,0.000681
2010-08-26T00:00:00,1.5E-05,0.000399,0.000721
2010-08-27T00:00:00,1.5E-05,0.000403,0.000728
2010-08-28T00:00:00,1.6E-05,0.000413,0.000745
2010-08-29T00:00:00,1.5E-05,0.000409,0.000738
2010-08-30T00:00:00,1.5E-05,0.0004,0.000722
2010-08-31T00:00:00,1.5E-05,0.000402,0.000727
2010-09-01T00:00:00,1.5E-05,0.000395,0.000714
2010-09-02T00:00:00,1.4E-05,0.000367,0.000663
2010-09-03T00:00:00,1.3E-05,0.000342,0.000617
2010-09-04T00:00:00,1.2E-05,0.00032,0.000578
2010-09-05T00:00:00,1.1E-05,0.000298,0.000538
2010-09-06T00:00:00,1.1E-05,0.000278,0.000503
2010-09-07T00:00:00,9E-06,0.000248,0.000448
2010-09-08T00:00:00,9E-06,0.000231,0.000418
2010-09-09T00:00:00,9E-06,0.000231,0.000417
2010-09-10T00:00:00,9E-06,0.000238,0.000431
2010-09-11T00:00:00,9E-06,0.000239,0.000431
2010-09-12T00:00:00,9E-06,0.000246,0.000445
